genre_id,genre_name
0,country rap                                       
1,r&b en espanol                                    
2,canadian pop                                      
3,panamanian pop                                    
4,pop                                               
5,big room                                          
6,australian pop                                    
7,reggaeton                                         
8,latin                                             
9,escape room                                       
10,reggaeton flow                                    
11,dance pop                                         
12,brostep                                           
13,dfw rap                                           
14,pop house                                         
15,canadian hip hop                                  
16,edm                                               
17,atl hip hop                                       
18,electropop                                        
19,trap music                                        
20,boy band                                          
