song_id,song_name,song_length,song_popularity,artist_id,genre_id
0,Se�orita                                                                                                                                                                                                ,191,79,27,2
1,China                                                                                                                                                                                                   ,302,92,26,10
2,boyfriend (with Social House)                                                                                                                                                                           ,186,85,35,11
3,Beautiful People (feat. Khalid)                                                                                                                                                                         ,198,86,25,4
4,Goodbyes (Feat. Young Thug)                                                                                                                                                                             ,175,94,6,13
5,I Dont Care (with Justin Bieber)                                                                                                                                                                        ,220,84,25,4
6,Ransom                                                                                                                                                                                                  ,131,92,15,19
7,How Do You Sleep?                                                                                                                                                                                       ,202,90,36,4
8,Old Town Road - Remix                                                                                                                                                                                   ,157,87,24,0
9,bad guy                                                                                                                                                                                                 ,194,95,32,18
10,Callaita                                                                                                                                                                                                ,251,93,20,7
11,Loco Contigo (feat. J. Balvin & Tyga)                                                                                                                                                                   ,185,86,4,11
12,Someone You Loved                                                                                                                                                                                       ,182,88,13,4
13,Otro Trago - Remix                                                                                                                                                                                      ,288,87,30,3
14,Money In The Grave (Drake ft. Rick Ross)                                                                                                                                                                ,205,92,28,15
15,No Guidance (feat. Drake)                                                                                                                                                                               ,261,82,2,11
16,LA CANCI�N                                                                                                                                                                                              ,243,90,29,8
17,Sunflower - Spider-Man: Into the Spider-Verse                                                                                                                                                           ,158,91,6,13
18,Lalala                                                                                                                                                                                                  ,161,88,5,15
19,Truth Hurts                                                                                                                                                                                             ,173,91,14,9
20,Piece Of Your Heart                                                                                                                                                                                     ,153,91,16,14
21,Panini                                                                                                                                                                                                  ,115,91,24,0
22,No Me Conoce - Remix                                                                                                                                                                                    ,309,83,7,10
23,Soltera - Remix                                                                                                                                                                                         ,266,91,23,8
24,bad guy (with Justin Bieber)                                                                                                                                                                            ,195,89,32,18
25,If I Cant Have You                                                                                                                                                                                      ,191,70,27,2
26,Dance Monkey                                                                                                                                                                                            ,210,83,37,6
27,Its You                                                                                                                                                                                                 ,213,89,10,15
28,Con Calma                                                                                                                                                                                               ,193,91,12,8
29,QUE PRETENDES                                                                                                                                                                                           ,222,89,29,8
30,Takeaway                                                                                                                                                                                                ,210,84,19,16
31,7 rings                                                                                                                                                                                                 ,179,89,35,11
32,0.958333333333333                                                                                                                                                                                       ,176,89,21,7
33,The London (feat. J. Cole & Travis Scott)                                                                                                                                                               ,200,89,33,17
34,Never Really Over                                                                                                                                                                                       ,224,89,1,11
35,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)                                                                                                                                          ,164,89,11,5
36,Otro Trago                                                                                                                                                                                              ,226,91,30,3
37,Antisocial (with Travis Scott)                                                                                                                                                                          ,162,87,25,4
38,Sucker                                                                                                                                                                                                  ,181,80,17,20
39,"fuck, im lonely (with Anne-Marie) - from �13 Reasons Why: Season 3�                                                                                                                                     ",199,78,18,11
40,Higher Love                                                                                                                                                                                             ,228,88,31,16
41,You Need To Calm Down                                                                                                                                                                                   ,171,90,34,11
42,Shallow                                                                                                                                                                                                 ,216,87,3,11
43,Talk                                                                                                                                                                                                    ,198,84,22,4
44,Con Altura                                                                                                                                                                                              ,162,88,8,1
45,One Thing Right                                                                                                                                                                                         ,182,88,0,12
46,Te Robar�                                                                                                                                                                                               ,202,88,9,8
47,Happier                                                                                                                                                                                                 ,214,88,0,12
48,Call You Mine                                                                                                                                                                                           ,218,88,19,16
49,Cross Me (feat. Chance the Rapper & PnB Rock)                                                                                                                                                           ,206,82,25,4
